Promoted Item Description,01_J&J_Dabao_SOD_Milk_200,02_J&J_Dabao_SOD_Milk_100/90,03_J&J_Dabao_SOD_Milk_Light_100/90,04_J&J_Dabao_SOD_Protein_100,05_J&J_Dabao_SOD_Protein_50,06_J&J_Dabao_Night_50,07_J&J_Dabao_Day_50,08_J&J_Dabao_Vitality_50,09_J&J_Dabao_Vitality_100,10_J&J_Dabao_White_50/75,11_J&J_Dabao_Hydartion_50/75,12_J&J_Dabao_SOD_Cream_50,13_Baiquelin_41.5,14_Baiquelin_baoshi_50,15_Baiquelin_baoshi_50,16_Baiquelin_8cups_50,17_Baiquelin_60,18_Baiquelin_baoshiru_100,19_Baiquelin_24hours_115/,20_Baiquelin_Fanshilin_120,21_Baiquelin_130,22_Baiquelin_SOD_150,23_Baiquelin_200,24_KanS_GEL_180,25_Inoherb_Moist_50,26_Inoherb_Herbal_100,27_Inoherb_White_120,28_Inoherb_Herbal_120,29_JaHwa_Maxam_20,30_JaHwa_Maxam_Low_80,31_JaHwa_Maxam_High_80,32_JaHwa_Maxam_Pearl_100,33_JaHwa_Maxam_High_100,34_JaHwa_Yashuang_80,35_JaHwa_Youyi_110,36_PG_Olay_Moist_50,37_PG_Olay_Advanced_Moist_50,38_Yumeijin_110,39_Livedun_120,40_Longliqi_Snake_60,41_Longliqi_SOD_low_90,42_Longliqi_SOD_high_90,43_Longliqi_SOD_165,47_Inoherb_Herbal_Lotus_120
35_JaHwa_Youyi_110,-0.07,,,,,,,,,,,,-0.13,-0.15,,,,,,-0.11,,,,,,,,,,,,,,-0.24,-0.24,,,,,,-0.16,-0.11,,
36_PG_Olay_Moist_50,,,,,,-0.13,,,,,-0.11,,,,,-0.1,,-0.03,,,,,,,,-0.12,-0.14,,,,-0.06,,,,,-0.86,,,,,,,,
37_PG_Olay_Advanced_Moist_50,,,,,,,,,,,,,,,,-0.06,,-0.03,,,,,,,,-0.08,-0.13,,,,,,,,,,-0.61,,,,,,,
38_Yumeijin_110,,,,-0.11,,,,,,,,,,,,,,,,-0.06,,,-0.09,,,,,,,,-0.13,,,,,,,-0.12,,,-0.21,,,
39_Livedun_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,
40_Longliqi_Snake_60,,,,,,,,,,,,,-0.05,-0.04,,,-0.06,,,,,,,,,,,,,,,-0.04,,,,,,,,,,-0.32,-0.23,
41_Longliqi_SOD_low_90,,,-0.04,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,
42_Longliqi_SOD_high_90,,,,,,,,,,,,,,,,,-0.03,,,-0.03,,-0.03,,,,,,,,,-0.02,,,,,,,,,,-0.2,-0.13,,
43_Longliqi_SOD_165,,,,,,,,,,,,,,-0.03,,,-0.01,,,,,,-0.01,,,,,,-0.01,0,,-0.02,,0,,,,,,,,,,
47_Inoherb_Herbal_Lotus_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,-0.52
